review,rating,date
susah banget dapet driver kalo lagi ujan padahal di depan mata sendiri drivernya lagi pada nongkrong,1,2024-01-29
saya order gofood dari restoran sudah chat bahwa masakan sudah ready utk diambil tapi driver blm ada yg ambil karena mengirim pesanan harus sesuai estimasi pengiriman jadinya saya harus nunggu lama padahal masakan udh siap,3,2024-01-23
ada pengalaman dapet driver sombong dan kasar kronologi mesan grabcar kebetulan malem itu abis hujan jadi jalanan kotor dan becek pas driver sampe di lokasi penjemputan ponakan saya buka pintu depan dan masuk kemudian driver dengan nada tinggi bilang ke ponakan saya kaki kamu kotor mobil saya bersih sambil tangannya membersihkan bangku yang tadinya sudah diduduki ponakan saya akhirnya kami tidak jadi naik mobil driver itu walaupun statusnya sudah dalam perjalanan dan uang sudah di driver,1,2024-01-28
pesen go food sama driver dicancel mulu udh 3 kali heran deh pelayanan go food lama banget mentang mentang diskon kalo dibandingin mending dishope food sih mahal dikit tp driver ny gercep,1,2024-01-28
tolong lh diatur kehidupan drivers,5,2024-01-28
gofood ini semakin lama semakin susah dpt driver sampe berjam2 g dpt2 pdhl udah pilih yg paling mahal kirimnya tetep aja g dpt restonya maka ga sampe sekilo terpaksa batalin terus karna ga tau mau sampai kapan nunggu dpt drivernya,1,2024-01-28
kurirnya bertanggungjawab menjalankan tugasnya hujanhujan tetap diantar terima kasih untuk pelayanannya,5,2024-01-28
tolonglah kasih driver yang jaraknya deket buset ini mah gua dapet drivernya setara indonesia  mekkah,1,2024-01-28
potongan terlalu tinggi bagi driver ,1,2024-01-28
mapnya tolong dibenerin ga sesuai arahannya customer maupun drivernya jd sering bermasalah sy sering di cancel secara sepihak krn problem ini overall drivernya bagus gercep dan aplikasinya sudah bagus tp klo tidak didukung dengan system yg bagus akan rusak juga terima kasih,5,2024-01-28
saya ngasih rating satu karena aplikasi gojek ini nyarinya terlalu lama bahkan ini nyarinya udh 10 menit saya ini masih sekolah dan saya biasanya pake gojek suka terlambat karena ini gojek nyari drivernya lama banget ,1,2024-01-28
knp yah klo driver telpon ke saya gak ada pilihan buat ngangkat tlpnya cuma bunyi doang,5,2024-01-26
ribet harus je shelter terdekat dlu kalau mau jemput drivernya ga ramah,1,2024-01-26
sudah baikditingkatkan lagi pelayanannya baik driver sistem dan cs nya,5,2024-01-26
harga lebih mahal dan driver gojek selalu cancel perjalanan,1,2024-01-25
gosend layanan abal2 ksh promo plat 10 k tapi driver nolak berkali2lain kali gak usah bikin promo yg drivernya gak mau kerjasamamonyet ,1,2024-01-25
bagusaman dan nyamanserta drivernya bagus serasa diantar bpk sendiri,5,2024-01-25
saya bingung sering pakai tpi mengecewakanpesen makanan sudh diambil 30 menit lalu dichat dan telp driver ga ada respon aplikasi error saya dirugikan pesanan lama pdhal nambah uang buat segera smpaiperbaiki sistemnya jawabnya juga lama sekali bantuan bad,1,2024-01-25
yg penting drivernya ramah dan sabar aja sih udah oke,4,2024-01-24
aneh sama aplikasi gojek kalau setiap jam 3 pagi dpt driver jauh  jauh,1,2024-01-24
tiap chat driver atau restoran selalu ceklis satupadahal sinyal bagus,2,2024-01-25
saya lagi cari driver padahal di peta ada driver gocar dekat tp kok tetap ga dapetdapet driver seharusnya driver yang dekat dengan saya merespon,1,2024-01-25
tidak bisa meng cancel pesanan padahal resto yang tutup kasian driver nya sudah ter ganti,1,2024-01-25
pesen gofood prosedurnya rumit dan lamamengabari restoresto menyiapkan pesananproses nya ada 30 menit habis itu nyari drivertotal bisa 1 jam an meski jarak rsto cuma 100 m kalau kamu bilang ini demi peningkatan kualitas layanan itu bohong besarkenyataannya siap siap kehilangam costumer karena orang pesen gojek karena pengem praktis kalau prosedurnya rumit dan lama mending datang langsung ke warung paham nggaksiap siap ditinggal apk sebelah yg masih pakaincara lama tapi cepet,2,2024-01-25
saya driver gojek saya mengeluh orderan yg saya dapat sulit sekali dalam 1 minggu saya cuma dapat 1 order bagaimana ini sejak pembaruan dimana sistem saldo dijadikan 1 yaitu gopay saja,5,2024-01-25
mantap driver ramah,5,2024-01-25
bagus sih cuman agak jauh2 nyari driver nya,3,2024-01-27
apk aneh driver songong udah gitu kalo hujan lama bgt nyarinya,1,2024-01-27
driver 5000 nyebelin emank bukan pake akun ini ordernya tapi kan ngeselinminta tips koq maksa pengemis aja ga segitunya,1,2024-01-24
lama dapet driver lol,1,2024-01-27
semakin buruk lama lama kenapa di berikan driver jauh tidak yang terdekat,1,2024-01-27
setiap pesan goride atau gofood selalu aja titik lokasi saya sulit ditemukan oleh driver pdahal klau pesan memakai lokasi yg tertera dg titik kordinat,1,2024-01-27
aneh banget fitur pilih foto dari galeri yg simbol  kadang muncul kadang enggak kalau lagi chat driver gofood padahal itu fitur penting aplikasi juga udah diupdate ke yg terbaru ini yg salah siapa,2,2024-01-27
pedaeh urung di update dadi kayong jail meng drivere lokasine ngawur padahal wes karo gps urip jan,4,2024-01-24
gak gak lagi w pake ni apk nyusahin driver pilih kasih kntl,1,2024-01-26
drivernya malasgk mau antar penumpang,1,2024-01-26
sangat kecewa sebab tujuan dekat saja driver yg dekat tdk ada yg mau ambil dan ada juga driver posisi jauh sekali,1,2024-01-26
selalu sebel sama driver di go shop selalu pilih pilih oderan bahkan banyak alesan bukan sekali dua kali tapi sering kaya gini terus pelayan mereka lama pada hal saya pakai go shop untuk keadaan darurat seperti beli obat,3,2024-01-26
pesen go food driver dapat dobel order saya yg terahir makin lamaa drivernya banyak kannn,1,2024-01-26
pesanan sangat lama sampai sejak ada mode hemat dan driver nya banyak sekali minta tip tambahan karena mereka di bayar 5000 saya sangat tidak nyaman karena ulah driver anda tiap kali memaksa minta tip tambahan lebih baik saya pindah ke aplikasi lain dan semoga costumer kalian pada kabur,1,2024-01-26
drivernya ramah,5,2024-01-27
kenapa skrg suka lamaaa banget dapetin driver nya cuss tu app satunya lah,1,2024-01-27
kadang suka pusing ya sama driver gojek di daerah kampungku majalaya kalo pesan tuh suka pada gk mau anter bnyk alesan si driver nyakadang suka minta uang lebih dari harga yg tertera ,2,2024-01-26
udh lama dpt driver ny jauh apk tolol,1,2024-01-26
drivernya sepi 50 menit nunggu tapi ga dapet driver padahal ga hujan,1,2024-01-31
driver nya ramah,5,2024-02-01
kenapa gojek berlaku diskriminasi kepada saya sebagai driver sehari cuma dikasih 1 order selama bertahuntahun sampai todak ada perubahan apapun sistem gojek sekarang lebih memprioritaskan akun driver 24 jam nonstop dengan joki kemanan para customer berkurang ini real di lapangan,1,2024-02-01
saldo saya tiba tiba terpotong memang tidak besartpi untuk posisi saat ini memang cari uang lagi susah apalagi saya seorang driver gojek yg penghasilan nya kecil hanya untuk mencukupi makan saja belum keperluan keluarga kecil saya yg lain nyasaya sudah laporan tpi d sayangkan tidak memecahkan masalah dan respon nya tidak memuaskan,1,2024-01-31
gojek motor tidak mau bawa 2 anak kalau pergi bawa 2 anak si driver tidak mau bawa atau anter hanya bawa 1 anak sajaz terus anak saya yang satu lagi gimana masa di tinggalaneh peraturannya gk simple,1,2024-01-31
cari driver susah banget aplikasi gak benarkalau kayak begini pindah sebelah aja lebih cepat,1,2024-01-30
gojek oke layanan driver bagus,5,2024-01-30
terkadang saya malu dan gk enak sama drivernya jika saya gofood soalnya titiknya sering gk akurat kadang drivernya juga marah tolong di update minta dong agar ada shere lokasinya saja waktu di chat driver dan hapus pesan juga di chat driver,2,2024-01-30
pelayanan makin burukresto jarak 1km masa makan waktu 1 jamsusah dapat drivermungkin karena upah ke driver sangat minimpadahal customer bayar lumayan mahalaplikasi juga lemot tolong di perbaikimasa saya setiap makan sambil emosi,1,2024-01-30
percuma banyak driver gojek ngangur tp giliran order gojek drivernya sulit lo gak bisa gitulah gojek,1,2024-01-30
payah ah giliran ada promo 5000 perak nyari driver susahnya minta ampun ,1,2024-01-31
pencarian driver yang lama dan jauh dari lokasi penjemputan,1,2024-01-31
musim hujan driver nya pada gk ada ya susah betul order nya,1,2024-01-31
bru pengguna gojekdan aneh aja sama rute nya yg sllu diputerin lwt gang kecilhrsnya ti ggal lurus pke sgala dibelokin pas driver jemput jg gtuu di maps nya emg gini sistemnya apa gmna,1,2024-02-01
lebih ditingkatkan lagi utk kecepatan dan ketepatan waktu penjemputan dan keramahan driver,5,2024-01-31
ngebug pas lagi urgent dicek detail pesanan tidak keluar jadi enggak tau drivernya udah ada dimana kacau,1,2024-01-31
min mau tanya sebenernya sistem penjemputan gojek tuh gimana waktu order jelas2 terlihat disitu ada banyak driver yg availaible tapi gak ada yg mau ambil dan keterangannya driver kami sedang sibuk ini sering terjadi terutama ketika sedang promo tarif lebih murah dari biasanya why  apakah memang sistemnya harus tunggu driver accept order  apakah tidak bisa dibuat otomatis match dengan driver terdekat ,3,2024-01-31
driver sering menolak pesanan,2,2024-01-30
driver nya kebanyakan sibuk saya jad terlambat sekolah,1,2024-01-30
tolong klw kita sdh kasih bintang 1 ke drivernya supaya kita gk dpet driver yg itu lagi donk krna sdh pasti driver yg dpt bintang 1 itu bikin gk nyaman,1,2024-02-01
susah bngt nyari driver,3,2024-01-31
nyari drivernya lama padahal gak ujan,1,2024-01-31
klo ada yang jauh banget kenapa harus kasih driver yang deket ini lah gojek saat ini saat anda terburuburu tabahkan lah hatimu,1,2024-02-01
drivernya susah dapatnya giliran dapat drivernya pada blagu gak mau diambil tolong dong yak kalo drivernya gak mau ambil ya jgn di okein dong pesanannya,1,2024-02-01
pesan makanan jd telat sampai alasan driver gojek saat ini sdh bisa terima double orderakibat nya makanan sampai sdh dingin dan tak enak dimakan,1,2024-02-01
argo buat driver ternyata miris sekali saya pesan dan penasaranberapa yg dibayar gojek terhadap driverternyata hanya 5 ributolong pihak kantor gojek jangan hanya ingin menerima uang banyak tapi driver di tindassaya sebagai customer merasa kecewa padahal driver sangat membantu tolong dikoreksi ,1,2024-02-01
senang dong apalagi klo diskon2nya dan drivernya sopan2 pertahankan pelayanannya dan tingkatkan agar lebih baik lagi mksih dan sukses terus,5,2024-02-01
pelayanannya memuaskan dan kurir yang nganter juga baik2 cepet diantar puas deh pokoknya,5,2024-02-01
makasih gojek aku jadi ketinggalan kereta gara gara 2 jam ga dapet dapet driver  gatau mau nyalahin siapa,1,2024-01-31
alhamdulillah perjalanan dilancarkan dengan gocar sat set sat set bs sampai tujuan dengan tepat waktu dan mobilnya selalu bersih drivernya juga ramah,5,2024-01-31
gofood terlalu lama dapat driver makanan 1jam lebih baru sampai,3,2024-02-01
aplikasi jelek cuma bisa di pickup tapi driver gk ada balasan dan malah di biarin  hrusnya di acc driver gk berguna klo cuma di pickup tpi di biarkan sistem udah gk beres tapi gk ada perbaikannya udah dr kemarin pesanan gk beres2,5,2024-01-31
susah dapat driver padahal driver banyak bad,1,2024-02-01
masih milih2 kepencet gak sengaja go food belum sempat masukin diskon gak bisa di revisi lagi dalam hitungan seper sekian detik tiba2 jadi pengiriman bayar cash padahal lg gak pegang cash kasih waktu dong untuk revisi misal 1 menit sejak order kan driver jg belum dpt kapokk nasi goreng harga 24rb jadi 30rb beli 2 lg kena,1,2024-01-31
gojek sekarang jelek kalo order dapet drivernya jauh banget gk yang terdekat jadi bikin lama kasian drivernya juga kasian customer nya nunggu lama kesel bgt sih sekarang sama gojek sistemnya jadi jelek,2,2024-01-30
di saat penting dengan keadaan hujan gocar tidak bisa menjadi solusi 10 kali pesan 5 dibatalkan sisanya 2 jam menunggu aplikasi muter ketika dapat driver langsung dibatalkan oleh drivernya miris sekali padahal setiap pembatalan harga melonjak naik,2,2024-01-30
aplikasi zionis mang sadis uninstal aj cari yg lain  drivernya pd songong suka cari gara gara sm orang,1,2024-01-22
maaf sy jarang pergi krn lagi bokek ngandalin gokar driver akunnya juga ga jadi ngejob oflenpun sepi pol krn bospada aneh cari yg termurah dr yg murah,4,2024-02-02
gojek adalah aplikasi penyiksa driver,5,2024-01-23
dapat driver jemput pada jauh2 banget bikin telat kerja,1,2024-02-02
ramah sekali driver nya suka ajak ngobrol,5,2024-02-02
susah dapat driver saat hujan drivers nya pilih pilih orderan,1,2024-01-29
kalau hujan kenapa susah bgt ya allah dapetinnya mana sering telat sekolah garagara susah dapet driver,1,2024-01-29
lama2 gak jelas ini aplikasi nyari driver skrg kyk susah bgt pantesan aplikasi sebelah lebih berjaya perbakin itu manajemen nya lama2 punah lu yg bertahan malah yg dari luar negeri seperti sampah aplikasinya skrg gw dlu belain2 selalu gunakan aplikasi gojek karena mendukung produk lokal skrg gw jadi beralih ke sebelah lebih cepet dpt driver mahal jg gw jabanin mohon klau bsa jgn mengecewakan pengguna setia lah jam yg gak sibuk pun cari driver susah buang2 waktu,1,2024-01-29
senang playanan cepat driver ramah dan sering ada promo n disc,5,2024-02-02
kenapa belakangan ini sering terjadi orderan ganda  jadi salah paham sama drivernya sampai marah drivernya gara orderan gandanya,3,2024-01-30
trima kasih pak driver walaupun hujan siap mengantar ,5,2024-01-30
mesen gojek padahal banyak yg deket malah dapet yg drivernya jauh jadinya telat ke kantor nanya ke supirnya katanya biar rata kebagian semua ordernya tapi saya yg di rugikan  ga lagi deh pake ini aplikasi kecewa sangat,1,2024-01-30
hampir semua driver bilangnya gaada kembalian tapi giliran dibilang bener gaada duit receh baru dikasih kembalian tingkatkan kejujuran juga yaa,3,2024-01-22
saya lebih banyak saya dapat driver yang lokasinya jauh dari titik penjemputan,3,2024-01-22
titik nya selalu menceng jauh tolong fiper baiki rute dari drivernya ke prnjemputan agar bisa lebih cepat saat menjemput,1,2024-02-02
sudah biasa kalo hujan pasti susah dapat driver sekali nya dapat pasti posisi nya jauh pas saya tanya driver di samping saya pak orderan saya ga masuk ga pak karena saya ladi di suspend 30 menit gara2 ngelewatin orderan soalnya kalo hujan orderan nya ngaco jauh2 jemput nya,1,2024-01-19
capek ama gocar  tiap butuh antar anak kesekolah pasti gak ada sama sekalinunggu lagi cati driver sampai 30 mnt dapat juga alasan belum siap jalan minta d batalin mentang2 hujan banyak orderan jadi milih2 ya percuma promo gak pernah kepakai akhirnya naik gobike anak saya sampai hujan2an  walau pakai jas hujan padahak harga ama gocar beda tipis benar2 bikin kecewa,1,2024-01-19
order gocar semakin susah padahal dimaps ada driver yg dekat udah nungguin lama ga ada yg nyangkut,1,2024-01-19
cukup bagus sih lumayan ada peningkatan tp disayangkan beberapa driver mempermainkan cust dg alasan tarif terlalu murah halo kita gabisa ngatur ya itu udah dari aplikasi tarifnya kita hanya bisa memilih menggunakan argo apa ride car dll kalau dirasa tarif terlalu murah silahkan lapor ke kantorcs saja jk tdk sesuai keinginan kalian jgn cm nerima order tp ga jalan ujungujungnya dibatalkan sepihak,5,2024-01-19
selalu sat set drivernyamantap,5,2024-01-19
sangat membantu tapi sayangnya saat order sore malam ac mobil gocart sering di off kan oleh driver  sehingga kenyamanan customer berkurang,3,2024-01-21
aplikasi driver g mutu,1,2024-01-19
nyari driver aja lama bgt,1,2024-01-19
kenapa tidak bisa memesan driver gojek ya maksud ku untuk orderan goride padahal aku punya pulsa yang cukup,5,2024-01-19
knp gofood jarak dekat sering di cancel driver karna ongkir yang di dapat driver murah semoga argo goceng di hilangkan,1,2024-01-21
gojek yg sekarang bener ngeselin lambat banget selalu dapet titik jauh dari lokasi order padahal hampir tiap hari pake jauh banget sama hijau sebelah langsung fast respon lokasi driver juga selalu deket atau at least ga jauh banget jadi gak kelamaan nunggu i hate it tadinya kasih bintang 2 sekarang bintang 1 aja sangat mengecewakan,1,2024-01-19
aplikasi sampah gofood dikirimnya lama 2 jam ga nyampe drivernya males males,1,2024-01-19
tolol banget aplikasi nya maksa untuk instant kalo lagi hujan ga ada driver ga bisa mesen yg biasa karena di dekat titik instant,1,2024-01-19
aplikasi gak jelas susah dpt driver,1,2024-01-21
harusnya biaya aplikasi dihapuskan karena tidak ada manfaatnya buat customer dan driver hanya menguntungkan untuk perusahaan saja,5,2024-01-21
driver sameday nya kacau lama nya melebihi estimasi berjam jam,1,2024-01-19
ngak menguntungkan konsumenuntuk orderan double buat drivernya terlalu lama menunggu untuk konsumen yang pertama parah,1,2024-01-21
sistem nya skrg aneh waktu itu sudah benar kalo kita pesan di jalur ganjil genap gak akan masuk ke driver gocar yg plat nya tidak sesuai pada tanggal nya kenapa skrg bisa masuk orderan nya ke driver yg plat nya tidak sesuai jadi buang waktu pesan cancel pesan cancel,1,2024-01-11
untuk driver khususnya roda 2 1coba helm untuk penumpang yang layak pake 2terus klo hujan coba tawarin mau pake jas hujan masa jasa driver tidak melengkapi amunisinya  3 tanya ke penumpang mau berangkat aktifitasburu2gimana kadang ada driver yg jalannya doyok emang mau jalan2  4 klo posisi mau tarik oder penumpang disaranin bbm fullcukup pom bensin suka antri,1,2024-01-20
parah notif  dari banyak karna dari aok driver masuk ke aok cs  parah gojek nyampah aja  gojek semakin semerawut banget,3,2024-01-20
mentang punya komunitas besar jgn se enak jidatnyamakan atau minum bayarlahdriver gojek makin menjadi kaya premandriver gojek tlol,1,2024-01-20
tolong driver ya jgn terlalu banyak potongan y,5,2024-01-20
lah driver lg pusing menekan pengeluar supaya ga banyak utang nih tawarin ngutang,1,2024-01-19
semenjak di update malah sering bug di aplikasi makanan jadinya masih setengah jam lagi tapi ternyata driver udah nunggu di depan rumah,1,2024-01-20
saya  5 tman saya psan gcar yang max kursi 6 dgn harga 43k pas msuk ke mobil driver ny bilang harusnya cuma 5 orang pdhl jls saya pesan gocar dengan max 6 orang lalu ketika sampai di tujuan driver malah bilang hitung per orang aja 10k jelas kaget dong teman saya bilang di app cuma 43k dan drivernya bilang lagi hitung per kepala aja bang 10k jadi total 60k kan ngeselin banget pas kita mau rating dia dia malah udh cancel kita seakan udh tau klo mau di rating rendah,1,2024-01-20
dulu saya sangat suka menggunakan gojek ini tetapi sekarang sudah mulai banyak kendala untuk gojek ini mulai dari nyari driver yang lama sampai pada saat ingin membayar sesuatu tolong di perbaiki ya,3,2024-01-19
bagusdriver gk ugala2nn rata2 ramahtingkaykn terus playann ug trbaik utk planggan yasmg jaya terus,5,2024-01-19
tidak ada opsi untuk laporan masalah driver,2,2024-01-19
cepat  driver ramah,5,2024-01-20
gosend instant 3 jam sameday 8 jam tapi dibatalin driver ngga di pickup sampe besok ganti hari,1,2024-01-20
driver ramah,5,2024-01-20
aplikasi bagus tapi di daerah saya jarang sekali ada yg mau ambil orderan saya tolong lah di perbanyak driver di daerah saya,2,2024-01-21
gojek melatih saya untuk sabar dikasih driver yang jauh jauh terima kasih yah gojek,1,2024-01-19
apps yang memudahkan banyak urusan saya di gambir ngasih driver di jayakarta di jam macet pula buang2 waktu nunggu ya aja,3,2024-01-19
kenapa setelah di update aplikasi gojeknya sering bug ya saat order sering ngecrash lalu sering ke close sendiri dan orderan sering kena cancel juga jadi gampang miskomunikasi jadinya sama driver karena aplikasinya sering force close sendiri mohon perbaikannya tt tt,1,2024-01-21
tolong d perbaikin kembali kepada semua driver gocar mau goride d wilayah parung panjang bogor kenapa y setiap saya pesen k tujuan perumahan sekar tanjung banyak yang d cancel terus pa harus driver milih milih antara jarak deket aj baru d bawah y pihak manajemen gojek indonesia tolong d pm pm aj klo ada driver pilih pilih orderan sama cs penumpang d pm kshan lah penumpang bayar bukan ngutang ama lo gojek d training malah g bener malahan d wilayah parung panjang bogor tanks,1,2024-01-19
tolong di percepat map data drivernya dan lokasi driver saat di jemput dan untuk dalam komunikasinya servernya di stabilkan agar mempermudah dalam pesanannya,1,2024-01-19
cari driver mobil lama bangett,3,2024-01-19
kalo untuk gojek sama food ok tp klo untuk gocar udh berapa x order susah bgt gk ada driver yg terima  lebih dr stngh jam gk ada yg accept jadinya beralih ke yg lain tolong dong diperbaiki,3,2024-01-21
hari ini kirim dokumen ke customer lewat gosend niatnya biar cepet dari bsd ke jakarta  tapi udah 3 jam driver posisinya gak gerak di chat ceklis satu dicall nggak bisa udah komplain tp nunggu 3 hari kerja ya gimana gitu loh,1,2024-01-19
driver  ya bagus dan sopan good job ,5,2024-01-19
kemarin marin titik lokasinya tepateeeh sekarang sekarang bisa beda kata drivernya sudah di titik lokasi sedangkan dengan posisi saya jauhcoba diperbaiki lagi jadi ga bikin susah penumpangnya iya kalau ga buru buru pas harus ngejar waktu jadi telat karena kebanyakan ngasih tau titik lokasi yg tepatnya dimana,2,2024-01-19
dr rs mau pulang k rmh krna bawa anak kecil n hujan jg akhir y pesan gocar stlh sekian lama menunggu dpt lah driver y 6 menit k titik penjemputan udh ditunggu lama kok mkin jauh malah 8 menit dah gitu posisi driver gak berubah d chat gak d bls akhirnya ku batalkan pesanan saran aja sih klo emang driver gak mau nerima orderan jgn diaktifin dong aplikasi y buang2 wktu udh nunggu lama kondisi bawa anak yg lg skt hujan jg,3,2024-01-19
saat mencari driver lamaa hujan dikit ga ada yang mau ambil lawak lawakk,2,2024-01-19
pertama kali pakai gocar ketik alamat sudah sesuai tiba tiba lihat alamat salah mau diedit bisa katanya setelah ketemu driver begitu ketemu edit alamat lgs naik3 kali lipat dibatalin ga bisa driver nawarin nego pantesanharga saham lu ancur licik banget caranya kapok deh  kapokkk gua dikadalin,1,2024-01-21
makin kesini aplikasi gojek makin tidak jelas begitu banyak driver disekitar tapi yg dpilih driver dengan jarak yg begitu jauh tolong diperhatikan dan diperbaiki apakah gojek sengaja membuat customer menunggu begitu lama,1,2024-01-20
drivernya suka minta customer cancel alasannya kejauhan kemudian kalo dapat order driver lama bergerak kemungkinan ketiduran chat call selow respon,3,2024-01-16
saya setiap ingin pergi selalu saja drivernya berhenti tidak sesuai dengan mapjelas jelas titik nya masih jauh saya jadi nya jalan jauhtolong di perbaiki lagi,1,2024-01-16
kok jadi bloon aplikasinya masa gabisa upload invoice dari gallery jadi nyusahin drivernya kasian woy,2,2024-01-16
aplikasi sering tidak respon kadang driver chat dan telpon tdk tersambung,3,2024-01-13
